System_Name,Role_Code,Entitlement_Code
S4423552,EQTTMPLT,CLC
S4423552,EQTTMPLT,CLE
S4423552,EQTTMPLT,CLG
S4423552,EQTTMPLT,CLI
S4423552,EQTTMPLT,CLL
S4423552,EQTTMPLT,CLM
S4423552,EQTTMPLT,CLR
S4423552,EQTTMPLT,CLS
S4423552,EQTTMPLT,CLT
S4423552,EQTTMPLT,CM
S4423552,EQTTMPLT,CMA
S4423552,EQTTMPLT,CME
S4423552,EQTTMPLT,CMM
S4423552,EQTTMPLT,CMN
S4423552,EQTTMPLT,CMS
S4423552,EQTTMPLT,CMW
S4423552,EQTTMPLT,CNE
S4423552,EQTTMPLT,CNU
S4423552,EQTTMPLT,CNX
S4423552,EQTTMPLT,COA
S4423552,EQTTMPLT,COE
S4423552,EQTTMPLT,COR
S4423552,EQTTMPLT,COU
S4423552,EQTTMPLT,CPE
S4423552,EQTTMPLT,CPI
S4423552,EQTTMPLT,CPR
S4423552,EQTTMPLT,CPW
S4423552,EQTTMPLT,CR
S4423552,EQTTMPLT,CRC
S4423552,EQTTMPLT,CRE
S4423552,EQTTMPLT,CRR
S4423552,EQTTMPLT,CRV
S4423552,EQTTMPLT,CR0
S4423552,EQTTMPLT,CR1
S4423552,EQTTMPLT,CR2
S4423552,EQTTMPLT,CR3
S4423552,EQTTMPLT,CSA
S4423552,EQTTMPLT,CSC
S4423552,EQTTMPLT,CSE
S4423552,EQTTMPLT,CSI
S4423552,EQTTMPLT,CSL
S4423552,EQTTMPLT,CSO
S4423552,EQTTMPLT,CSR
S4423552,EQTTMPLT,CST
S4423552,EQTTMPLT,CT
S4423552,EQTTMPLT,CTE
S4423552,EQTTMPLT,CTL
S4423552,EQTTMPLT,CTM
S4423552,EQTTMPLT,CTN
S4423552,EQTTMPLT,CTP
S4423552,EQTTMPLT,CTS
S4423552,EQTTMPLT,CTU
S4423552,EQTTMPLT,CU
S4423552,EQTTMPLT,CUB
S4423552,EQTTMPLT,CUE
S4423552,EQTTMPLT,CUL
S4423552,EQTTMPLT,CUN
S4423552,EQTTMPLT,CUU
S4423552,EQTTMPLT,CUW
S4423552,EQTTMPLT,CUX
S4423552,EQTTMPLT,CVE
S4423552,EQTTMPLT,CWU
S4423552,EQTTMPLT,CXE
S4423552,EQTTMPLT,CXJ
S4423552,EQTTMPLT,CYL
S4423552,EQTTMPLT,C10
S4423552,EQTTMPLT,C11
S4423552,EQTTMPLT,C12
S4423552,EQTTMPLT,C13
S4423552,EQTTMPLT,C14
S4423552,EQTTMPLT,C15
S4423552,EQTTMPLT,C16
S4423552,EQTTMPLT,C17
S4423552,EQTTMPLT,C18
S4423552,EQTTMPLT,C19
S4423552,EQTTMPLT,C2L
S4423552,EQTTMPLT,C2M
S4423552,EQTTMPLT,C2R
S4423552,EQTTMPLT,C2W
S4423552,EQTTMPLT,C20
S4423552,EQTTMPLT,C21
S4423552,EQTTMPLT,C22
S4423552,EQTTMPLT,C23
S4423552,EQTTMPLT,C24
S4423552,EQTTMPLT,C25
S4423552,EQTTMPLT,C26
S4423552,EQTTMPLT,C27
S4423552,EQTTMPLT,C28
S4423552,EQTTMPLT,C29
S4423552,EQTTMPLT,C30
S4423552,EQTTMPLT,C31
S4423552,EQTTMPLT,C32
S4423552,EQTTMPLT,C33
S4423552,EQTTMPLT,C34
S4423552,EQTTMPLT,C35
S4423552,EQTTMPLT,C36
S4423552,EQTTMPLT,C40
S4423552,EQTTMPLT,C41
